country,popDen,rain,PerUrb,HCexpend,Diabetes,cardioDR,spatLag,reg,trans,pop,PathCompPC2,PathCompPC3,ageDivPC1,cases,deaths,log_tests,log_cases,log_pop,IDburd_perMil
Dominican Republic,219.9785759,121.4442597,80.2362,7628.896587,8.2,266.653,18969.895,Amer,comm,10847904,-0.7799075500573439,0.024405336572326335,0.6202210691419374,224118,2842,9.673947776419803,12.319927977848577,16.199482439565635,28896.93900314752
Ecuador,68.78868175,185.949474,63.6818,6175.569094,5.55,140.448,36079.345,Amer,comm,17643060,-0.03755241025694128,0.7417288344748353,0.1612155836755312,258612,15014,9.152700877729728,12.463084147955572,16.6858530628866,22398.24566146689
Egypt,98.87346929,2.485025064,42.7312,3016.685489,17.31,525.432,22147.517,EMed,clust,102334403,0.47449813253965445,0.7237941661430111,-0.0034189270474167532,170182,9722,10.980624686335268,12.044623731596802,18.44375646959746,23600.27888177547
El Salvador,309.8814672,151.2771268,71.249,3935.347657,8.87,167.295,17707.6671428571,Amer,comm,6486201,-0.17761904070438989,1.1683196156367934,0.4397051498907177,56650,1693,10.061353280162637,10.944647266456153,15.685187555193462,21095.587494127918
Equatorial Guinea,46.66573975,181.8614803,71.634,9695.565902,7.78,202.812,2964.972,Afri,comm,1402985,-1.2995139362373684,-1.1486809072894109,1.4135896666362613,5613,87,9.985207858761688,8.6328406149422,14.154112667651821,174097.1713168708
Eritrea,65.9468143251011,22.56127292,45.8883214,1994.31743375069,6.05,311.11,3387.96666666667,Afri,comm,3546421,0.05373378168918527,-0.002543406942486049,1.4007803870482076,2326,7,8.765576396144743,7.75190533307861,15.081449483893305,268563.1965296844
Estonia,30.41124914,55.74426596,68.7254,20662.39145,4.02,255.569,33141.65,Euro,clust,1331057,-0.46061553084287454,-0.07683529458771832,-1.5348102150094036,48975,475,11.66691035391208,10.799065242812741,14.101483921403938,9674.602793118553
Eswatini,66.05761628,66.01406798,23.6328,3804.169904,3.94,333.436,3282.72833333333,Afri,comm,1160164,-5.000654015792133,-0.3060460645716913,1.3773894703891982,16234,607,9.67092200333943,9.69486308732112,13.96407193239978,264993.55935884925
Ethiopia,109.224559,67.66684324,20.3184,750.6946936,7.47,182.634,1662.075,Afri,comm,114963583,0.15665813605662735,-1.5147664664883662,1.6582952180561585,143015,2184,8.223989502860968,11.870704798845832,18.560125966611913,114644.71666649429
Fiji,48.35703339,239.7889574,55.7402,5927.294145,14.49,412.82,10043.65,WPac,spor,896444,0.32511806248386466,2.7293597149118156,-0.005193466475587549,56,2,8.570468520275098,4.02535169073515,13.706191104934076,32122.388872032163
Finland,18.14854727,46.89010253,85.3306,46343.86227,5.76,153.507,32310.1125,Euro,comm,5530719,0.13540564208533235,-0.7624856518736151,-1.6785243764607785,47885,702,11.532246515542637,10.77655758195572,15.525828383130081,4171.89588369975
France,47.11922029,70.20377468,80.181,38922.54789,4.77,86.06,68067.8575,Euro,comm,67391582,0.11877868924220603,-0.7757910812951239,-1.5624711887225073,3392425,81611,11.541141339730508,15.037055562856512,18.026030671939928,6622.599647534614
Gabon,8.224764233,151.18125,88.9528,7464.6409,7.2,259.967,3064.195,Afri,comm,2225728,-2.3415507384284022,-1.5392949155181057,1.469170109562026,11836,71,9.859852934368663,9.3789010135201,14.615594611078407,85486.74887497483
Gambia,225.3065217,82.3163075,60.5892,708.3577634,1.91,331.43,9713.19666666667,Afri,comm,2416664,0.0631390862194517,-0.9783240529742637,1.8559741833611798,4302,135,7.509593314910893,8.366835309827675,14.697898634713864,109080.59721996936
Georgia,65.19733021,78.6664891,58.2374,4370.769825,7.11,496.218,23537.6875,Euro,comm,3714000,0.10510173881853316,0.22684571544752002,-1.0471193163824786,244912,3079,10.722086126443125,12.408654241331488,15.127620020894788,12044.503769520732
Germany,237.3075967,60.1511108,77.2746,44400.56462,8.31,156.139,63751.525,Euro,comm,83240525,-0.16160241132046488,-0.6282153788763527,-2.108117901987079,2277045,61764,9.521152617533028,14.638389107696444,18.23724486653373,7409.216793142522
Ghana,130.8214292,96.05532394,55.4018,2021.120124,4.97,298.245,1779.394,Afri,comm,31072945,-0.20512557983320076,-1.782324269488563,1.9857139135582058,71530,466,8.649776559807759,11.17787222110243,17.251848062844495,144710.2370567064
Greece,83.26518231,53.54714327,78.7206,19024.2586,4.55,175.695,28167.8771428571,Euro,comm,10715549,0.2360741106823416,-0.7712766998845461,-1.7677183562652277,169199,6161,11.211130647894697,12.03883081597131,16.187206422161495,9089.525334632877
Grenada,327.8058824,128.8380674,36.1802,10034.52604,10.71,243.964,14126.2033333333,Amer,spor,112519,-0.7941999858805551,1.0239416544371807,-0.4380967159345065,148,1,10.774433545265426,4.997212273764115,11.630877375255379,17700.389845270576
Guam,306.9777778,199.374933516452,94.6978,35542.53265,10.18,155.898,1977.458,WPac,clust,168783,-0.45038596836018086,1.4220495697853093,-0.2574087724972704,7457,130,9.018411290364357,8.916908467543795,12.036369145171836,19267.503522274164
Guatemala,152.5471258,220.1783569,50.6926,4342.453438,8.30271999999999,236.460414000002,17997.3566666667,Amer,comm,16858333,0.6312687710386825,1.3388645990655503,0.9361631343211925,153613,5580,9.806884398670988,11.942191731531,16.640355632577357,42935.71965864004
Guinea,50.52221227,140.5542882,35.8068,839.7120501,2.42,336.717,1036.68714285714,Afri,comm,13132792,1.2168555112650603,-1.5859261988164017,1.9211475150574278,14748,79,8.16933444095621,9.598862759354034,16.390622866476445,264537.5514209012
